,dataset,gameweek,position,linear_regression_mae,ridge_regression_mae,lasso_regression_mae,random_forest_mae,xgboost_mae,xgboost_v2_mae
0,test,3,overall,2.581505630967581,2.7733550111937113,2.5068287333571293,2.204901280940042,2.4528525,2.4088068
1,test,4,overall,2.216361133018065,2.350782731727258,2.2976655447698895,2.0676986873580705,2.18673,2.169269
2,test,5,overall,2.1862846015284725,2.2509518914280475,2.2457291774751624,1.8714385266461524,1.9918005,2.022566
3,test,6,overall,2.025420401979909,2.1362615244505574,2.1192194865085012,1.8205263839028654,1.9655025,1.9851944
4,test,7,overall,2.107198063069365,2.0766694332728672,1.9566231324558008,1.8385481304486617,1.9928,1.8685659
5,test,8,overall,1.949194133007319,2.025896798214244,1.9645308471361913,1.8562935793088495,1.9938319,1.878389
6,test,9,overall,1.9786350426868913,1.995185644591631,1.9546450901261545,1.8582750846550669,1.9696517,1.9778082
7,test,10,overall,1.9329471142532912,1.9618317240975627,1.9238099541430953,1.8804540233862648,1.9983599,1.8597927
8,test,11,overall,1.9338639522209176,1.9405218090301066,1.9032656979257474,1.8732463381603963,1.9940653,1.9910948
9,test,12,overall,1.916082053834283,1.9078619727819317,1.885248528328455,1.8364572749721777,1.9804589,1.8641241
10,test,13,overall,1.9278873822452334,1.897137185833896,1.8848464005144399,1.8445740887943498,1.9809153,1.8692803
11,test,14,overall,1.9061387816684408,1.8783221915237065,1.8917233885437064,1.8253939894836801,1.9599712,1.9654243
12,test,15,overall,1.8475308433376443,1.8359219895286332,1.8440493243672271,1.8278372056410386,1.9507517,1.9478596
13,test,16,overall,1.8508114882193725,1.8215922966671871,1.8367035241605263,1.82451264866678,1.9500866,1.9521328
14,test,17,overall,1.8391227211146475,1.8151522525692922,1.8143106407070677,1.8166801697195385,1.9405001,1.8313874
15,test,18,overall,1.8474292936390315,1.8202058532325527,1.825655419965578,1.7992263951495988,1.9400798,1.9441448
16,test,19,overall,1.8269637450020302,1.810919430898857,1.8140677814017196,1.790930349979927,1.9370878,1.9475212
17,test,20,overall,1.8302611741671357,1.835849604685984,1.8387025162469763,1.787658405645829,1.9266846,1.8104045
18,test,21,overall,1.826887894417083,1.8319325860837719,1.8204000816319488,1.7567042174796834,1.9066808,1.7797204
19,test,22,overall,1.8091876180306457,1.8234862747884117,1.824927805930911,1.767004870193279,1.9097565,1.918024
20,test,23,overall,1.780295582945028,1.778527915675614,1.7822626336994016,1.7919122913393224,1.8894336,1.8985884
21,test,24,overall,1.755124482064087,1.7687562735532367,1.7696317859899735,1.7951859809296324,1.9012398,1.904253
22,test,25,overall,1.7641174539719735,1.7748631057024382,1.7779634014139147,1.7919388816975776,1.890026,1.8024174
23,test,26,overall,1.7635668533793307,1.7687115086327883,1.7664677493538943,1.8153758661138326,1.920542,1.928134
24,test,27,overall,1.7815252959173495,1.7837788099756773,1.7802560140493102,1.8316006634819342,1.9508336,1.9573486
25,test,28,overall,1.8034130240564392,1.8051477842231818,1.7996158056285467,1.7932517194930695,1.9112734,1.8115014
26,test,29,overall,1.8075714791525608,1.8127665067801277,1.8098964682709424,1.7727930908138443,1.8868201,1.7864074
27,test,30,overall,1.8225567893680825,1.8192329672798035,1.8165850326595128,1.7765709651635468,1.891872,1.7899722
28,test,31,overall,1.8269017964441634,1.829150079735262,1.8418632032967206,1.7902054863612822,1.8989544,1.8024628
29,test,32,overall,1.8321827212158683,1.8374733067397149,1.834571424421183,1.7799847828357376,1.8867178,1.8074665
30,test,33,overall,1.8473206278819818,1.8338472840697981,1.8390384476015107,1.7731130346138166,1.8807563,1.7809074
31,test,34,overall,1.853386778285776,1.833179930919701,1.8375596735303872,1.8062084739196564,1.9097307,1.8069266
32,test,35,overall,1.842960886818346,1.8288608485159996,1.8361810766801185,1.810906520874016,1.9165552,1.8113021
33,test,36,overall,1.8388522291876168,1.8329851352996882,1.830691261943523,1.7927449057801395,1.899128,1.7921962
34,test,37,overall,1.848191180489514,1.8365284971716824,1.8367239618855367,1.7742681188288825,1.8892559,1.790058
35,test,38,overall,1.8277729371475553,1.8117833139838657,1.8177605840768012,1.824797839321252,1.9568177,1.8648045
36,training,3,overall,2.7219428602393734,2.794907476806659,2.691773211646225,2.619054698006794,2.6887648,2.6329548
37,training,4,overall,2.4776345998145572,2.407069258387144,2.399251551299539,2.3957596620215287,2.5811317,2.5600734
38,training,5,overall,2.3554627106888715,2.3277909669414782,2.315827644169331,2.392148697083649,2.5022523,2.4948587
39,training,6,overall,2.219828647290695,2.1957855853236095,2.1998283275782335,2.212681208812846,2.2982209,2.299352
40,training,7,overall,2.1588504759000324,2.1346976820578667,2.147306248093556,2.110497396730763,2.1864562,2.1054292
41,training,8,overall,2.109031385929124,2.0873348781059904,2.089167010638871,2.062482961010754,2.1642523,2.0508242
42,training,9,overall,2.0744691910465276,2.0608818920992955,2.057859047525836,2.0362024575244004,2.1252687,2.1209002
43,training,10,overall,2.042612944577203,2.021074763640276,2.0219005398227234,1.9971562616006981,2.0946658,1.9745183
44,training,11,overall,2.031149509737039,2.012687359799303,2.023417205014354,1.9993884893291483,2.1036353,2.0946321
45,training,12,overall,2.0189345643251473,1.9999661044943993,2.0034245495122387,1.9867465192074356,2.0846255,1.9624568
46,training,13,overall,2.0112333797030972,1.987187352200863,1.9947087434646003,1.9698258297398046,2.0589612,1.9437169
47,training,14,overall,1.983802902071281,1.967059413460473,1.9756330086381242,1.9580540213990072,2.0590267,2.0591922
48,training,15,overall,1.9678139724558532,1.9506398143515569,1.9542030646089097,1.9616164436694863,2.0564249,2.0511117
49,training,16,overall,1.953823977233534,1.9383193906596032,1.941060824809645,1.9441023630917238,2.0482843,2.0432057
50,training,17,overall,1.9481600390615057,1.9313565145299982,1.936604000467031,1.9377944534637979,2.0415664,1.9291459
51,training,18,overall,1.9565778386730026,1.9371042761801145,1.940115020082871,1.9416317087062396,2.0422723,2.0319846
52,training,19,overall,1.9451098235624027,1.9283484961335844,1.9393586021796272,1.9219548986317854,2.0126631,2.0156026
53,training,20,overall,1.950297726996175,1.9353044060466418,1.9359765311988633,1.915715200944866,2.0145009,1.898991
54,training,21,overall,1.9451051110745092,1.9274818465274837,1.9312588975471219,1.90759251274403,2.008177,1.8944228
55,training,22,overall,1.936578638345888,1.9202753176232332,1.9215763171822262,1.9004806931411053,1.9951837,1.9958072
56,training,23,overall,1.8934352871705051,1.8803217286384666,1.882901680592595,1.8938299872931659,1.9689207,1.9649156
57,training,24,overall,1.8833558766307847,1.8714929042838662,1.8740099989935959,1.8847056096694619,1.9568676,1.960214
58,training,25,overall,1.879508717659367,1.8670918222648838,1.8690635746351214,1.8849299283983916,1.9581436,1.8739072
59,training,26,overall,1.8669459409864944,1.8571003122239238,1.8566963750920433,1.8723996998174302,1.945088,1.9487932
60,training,27,overall,1.8628118869932444,1.8539799837590039,1.8542364449642545,1.8709569129939934,1.9447427,1.9439232
61,training,28,overall,1.8628789180254224,1.8553079907710401,1.8537536756109987,1.8751482635363714,1.9539374,1.8617849
62,training,29,overall,1.8545789202979248,1.8483188974863733,1.8464616273855785,1.8753308809850098,1.9506013,1.8685734
63,training,30,overall,1.8517852131386194,1.8464875470021722,1.8444690890189368,1.8725365235832687,1.9508821,1.860273
64,training,31,overall,1.8432850882620726,1.8371760464051479,1.8357025596181855,1.8684299434593343,1.9500841,1.8519117
65,training,32,overall,1.843570593961233,1.8383761513973607,1.8367057875243418,1.873994756403852,1.9540404,1.856356
66,training,33,overall,1.8388963154554039,1.8341030728874919,1.8337315129742229,1.8647396165460992,1.9468566,1.8560765
67,training,34,overall,1.8394447799557412,1.833929420372683,1.831778497027271,1.8646541206098757,1.9440699,1.8558445
68,training,35,overall,1.8420284275084018,1.8356412744052624,1.8342358513952723,1.865158863983545,1.9408678,1.8531317
69,training,36,overall,1.84164865357138,1.837035599493483,1.835748353401522,1.8613758767444946,1.9439783,1.8548433
70,training,37,overall,1.841739408256376,1.8369202857360343,1.8357321957394739,1.8618085562039441,1.9425071,1.8488431
71,training,38,overall,1.8367416883913497,1.832164904712413,1.8316503685998164,1.8559180041401342,1.9357512,1.8433964
72,test,3,defender,1.0346402401127202,0.8460034290728919,0.8026744143399559,2.098695885814931,2.1497934,2.0247264
73,test,3,forward,7.632123761087601,7.253785274012809,7.912701889751703,3.4184905770718066,4.5353265,4.797945
74,test,3,goalkeeper,2.246466484122174,6.915992504197224,3.0709829476919466,2.229268140492281,2.181938,2.2266085
75,test,3,midfielder,2.4143931266019405,2.420826225729834,2.232992392247357,1.94120716451113,2.1402948,2.0602515
76,test,4,defender,1.5551166282670055,1.5462953796294887,1.5780592469550925,2.156525049722213,2.2565527,2.2264512
77,test,4,forward,3.900727700764694,4.623481510287422,4.335891417729342,2.658190931341796,2.9919896,3.0048716
78,test,4,goalkeeper,2.653576437587718,2.653648291354587,2.653576437587718,2.1909606810068274,2.2522032,2.1892588
79,test,4,midfielder,2.206546268812857,2.307930321217433,2.245530884446246,1.8087786312993124,1.8900414,1.8807029
80,test,5,defender,1.484266765379317,1.4114024414131967,1.5056222587718824,2.0112226389694827,2.1222305,2.150789
81,test,5,forward,3.4476279688361267,3.894216202355432,3.720990053253275,2.212780101808712,2.315823,2.3704443
82,test,5,goalkeeper,2.2299448711398644,2.324076355024021,2.3244241634072487,2.419208224193589,2.4121704,2.425008
83,test,5,midfielder,2.3976888178097995,2.461872233744355,2.4219253197773694,1.5779337778215528,1.7294824,1.757793
84,test,6,defender,1.5594985072218457,1.4748146661194523,1.5645609705965158,1.9772356326166791,2.131465,2.1691952
85,test,6,forward,2.940013589756666,3.450213200011679,3.1897110419140917,2.0356461896958193,2.1751285,2.212615
86,test,6,goalkeeper,2.228187205736297,2.5768141021025923,2.5779661016949094,2.3185956252200297,2.415393,2.4201057
87,test,6,midfielder,2.1178883290363357,2.241138877020463,2.2034982098411677,1.5560804270055133,1.7018526,1.7034894
88,test,7,defender,1.5456612007191788,1.4519648587405447,1.3856238833464034,1.9376494320234443,2.114093,1.9334034
89,test,7,forward,3.5338012805594983,3.3159211556703765,2.9910653327828953,2.055246933821991,2.2045376,2.1561377
90,test,7,goalkeeper,2.414337014524834,2.7539719894079835,2.191450648774858,2.183097187030806,2.2856543,2.2196155
91,test,7,midfielder,2.1101626535474733,2.1337737955806677,2.0938965064905877,1.6414649628992464,1.7861792,1.6782277
92,test,8,defender,1.5191115817277558,1.489298502888366,1.579624830565148,1.933350672179161,2.099144,1.9606867
93,test,8,forward,2.8842433638095915,3.032381104297756,2.7874472408267303,2.066478468759129,2.1504354,2.086768
94,test,8,goalkeeper,2.187673714559455,2.6568476788353856,1.995481888742171,2.2177058256750652,2.3299508,2.2825801
95,test,8,midfielder,1.9949199075176258,2.080591315905085,2.0368352306738218,1.6758135879930025,1.8094603,1.6876864
96,test,9,defender,1.5776221492073597,1.5232879053104007,1.622486270764485,1.9232502140160934,2.097625,2.1018548
97,test,9,forward,2.936091066693181,2.9175312384747683,2.73474067011992,2.063089857980882,2.099042,2.1209679
98,test,9,goalkeeper,2.5473863325686823,2.7532689112068733,2.2450206085171325,2.166340769353801,2.3097916,2.3299603
99,test,9,midfielder,1.941469340181593,1.9986447746694689,1.9547851852222,1.6977435908408982,1.7745582,1.7800844
100,test,10,defender,1.6511938507134587,1.531806888135564,1.6067217236668467,1.9430946101900843,2.106268,1.9408696
101,test,10,forward,2.539162790027073,2.7874925345428796,2.6345698516192275,2.1068199630334576,2.1883917,2.0441608
102,test,10,goalkeeper,2.562535823181999,2.9000386346306257,2.495746274193298,2.1069319381423317,2.185547,2.0866048
103,test,10,midfielder,1.89066735280718,1.9303487517680342,1.8881598229884418,1.7275197784677823,1.8247855,1.7041098
104,test,11,defender,1.552495216185691,1.5184140480364479,1.4955431292097705,1.9375487041397232,2.0896924,2.0886152
105,test,11,forward,2.3298156487080783,2.6271668271426822,2.5296178013825146,2.0755760427172256,2.1531055,2.127101
106,test,11,goalkeeper,2.6876816376929358,2.5346275377803043,2.68708695662027,1.9705997370872899,2.0616882,2.0848827
107,test,11,midfielder,2.0166478435669863,1.9934570132194624,1.9340648672885705,1.7448437721901677,1.857282,1.8557564
108,test,12,defender,1.447437419030265,1.4340020542159444,1.451242407630179,2.022271068660483,2.187761,2.0652397
109,test,12,forward,2.440149837732737,2.5808356737837306,2.516892925690414,1.94863353528615,2.071407,1.9277856
110,test,12,goalkeeper,2.4935995788568435,2.3444716998548953,2.395181597452505,2.1163310943118336,2.2598274,2.1780622
111,test,12,midfielder,2.0609191742603596,2.032584773798867,1.978753524949769,1.6077327636672714,1.7404435,1.6324264
112,test,13,defender,1.5432293035846725,1.5027249206493567,1.496348123665159,2.0434681575490234,2.204018,2.078134
113,test,13,forward,2.3920356278400945,2.4561785858255787,2.4205077682751046,2.0033331724866055,2.0978863,1.9756765
114,test,13,goalkeeper,2.5626984837117104,2.43520016159824,2.6705242649026824,2.105499694353044,2.2541595,2.1626508
115,test,13,midfielder,2.018114032356678,1.9807361389922828,1.935390441933008,1.594647409475376,1.7216622,1.6221809
116,test,14,defender,1.512464194072332,1.4899234828741184,1.506153410993103,2.0455201587565623,2.2087216,2.2094445
117,test,14,forward,2.37365009817699,2.4107533720155376,2.363620430561418,1.894962864762413,1.9865768,1.9841255
118,test,14,goalkeeper,2.72973162432962,2.5148136293979855,2.6810743936329655,2.06882336549018,2.1820385,2.1845305
119,test,14,midfielder,1.9763802883023562,1.9506593185220484,1.9586624395525438,1.5850704477592723,1.7118492,1.7241125
120,test,15,defender,1.4980790304997689,1.4570720261540249,1.4946105989810925,2.067115719265062,2.2064314,2.2020292
121,test,15,forward,2.4029755247883595,2.3838066228411807,2.3442618379814393,1.7977976698523288,1.8780721,1.8547294
122,test,15,goalkeeper,2.3578969027387933,2.3584053054243714,2.559843767071801,2.178770848320802,2.2928321,2.3163307
123,test,15,midfielder,1.899681000632618,1.9133905721666171,1.8831348693341663,1.5843148644516882,1.7076155,1.7083693
124,test,16,defender,1.5649803138307028,1.4907806676378288,1.5260227263942963,2.057819004898201,2.1993704,2.2085547
125,test,16,forward,2.288665041988426,2.288882500008429,2.2689978011314706,1.791994289181188,1.8736035,1.8683096
126,test,16,goalkeeper,2.5092676847609727,2.323226225418836,2.5221631317402915,2.0953889809184063,2.2749279,2.274285
127,test,16,midfielder,1.8606128945615232,1.8837091471373093,1.8650754001901015,1.5976438518749896,1.715041,1.7137039
128,test,17,defender,1.6046897808037062,1.5445256254104471,1.5558296033828567,2.0354202942885435,2.1810184,2.0431705
129,test,17,forward,2.211534812366428,2.206917753367313,2.198430304726109,1.7960086624223146,1.8837266,1.7570044
130,test,17,goalkeeper,2.467394500163296,2.3645414851258764,2.391604212471998,2.0513111458276887,2.2014804,2.0853298
131,test,17,midfielder,1.8278169220144234,1.8402058247190503,1.8272898138812905,1.6048847212283524,1.7173473,1.6385264
132,test,18,defender,1.6343834325495188,1.5662270110731757,1.5761189484154876,2.0052316304845093,2.1729848,2.1724885
133,test,18,forward,2.1952490679666283,2.1733361103540743,2.167115590710347,1.7438918922613331,1.8348628,1.8431625
134,test,18,goalkeeper,2.3394289910082784,2.2663278969986687,2.423464485524272,1.986316090054707,2.1542327,2.1658928
135,test,18,midfielder,1.842537169617662,1.854830655005338,1.836519080412646,1.6158174407110442,1.7452155,1.750605
136,test,19,defender,1.6474721146396194,1.5933279831645706,1.5952034840591554,1.9700334714955958,2.1529534,2.1573129
137,test,19,forward,2.098981233898071,2.102951911679529,2.1034714364790306,1.7065841845876677,1.8205022,1.8239535
138,test,19,goalkeeper,2.367099094686294,2.306368468967155,2.4274305289214615,2.001796282285383,2.177685,2.1801043
139,test,19,midfielder,1.8087082141814157,1.8250370748221638,1.8116144202594757,1.6356872450895512,1.7565932,1.7753917
140,test,20,defender,1.6523024295565958,1.6608756303813303,1.6689782358444079,1.963524843061822,2.1313307,2.0091891
141,test,20,forward,2.0625284915575004,2.0655325655782177,2.0650995696577326,1.7298877486628774,1.8456885,1.7160636
142,test,20,goalkeeper,2.3843932118334554,2.369481528111399,2.4635303344946236,1.9764803463686895,2.1348672,2.0341873
143,test,20,midfielder,1.8158031792177631,1.8229977270349356,1.8081703917144927,1.6321500428472393,1.7518328,1.6420221
144,test,21,defender,1.643385256557477,1.6580327253742724,1.6602282284102432,1.922701933217304,2.0961125,1.9633859
145,test,21,forward,2.0148002558840217,2.0230687899700017,2.0011317041889995,1.7047726623600234,1.8381476,1.6902335
146,test,21,goalkeeper,2.2705494904171353,2.321921655519909,2.2901524948456635,1.9529422618406636,2.159952,2.0302007
147,test,21,midfielder,1.846364046118829,1.8351349669518524,1.818916339102197,1.6061484052740593,1.7331283,1.6179783
148,test,22,defender,1.6385715981675624,1.6570146782313124,1.6619501582539722,1.9888998739953676,2.1431007,2.1538944
149,test,22,forward,1.9460978058515588,1.9846823066957135,1.9631273335061505,1.5987686664147336,1.7238996,1.726017
150,test,22,goalkeeper,2.3588211157924905,2.34388990948813,2.3974649353730837,2.03147196670665,2.2263336,2.2323444
151,test,22,midfielder,1.8159294365384624,1.8235344695730564,1.8212560604067793,1.5969341968832564,1.7276462,1.736222
152,test,23,defender,1.581176018364649,1.5500173060709037,1.5530691010004936,2.048205985124971,2.1559803,2.1676292
153,test,23,forward,1.9389836788282326,1.9820629312349523,1.960585430841578,1.6089882449452149,1.6804993,1.6856754
154,test,23,goalkeeper,2.294138077099396,2.266309503987645,2.34669147905961,2.1274001204474273,2.2828588,2.2850246
155,test,23,midfielder,1.8064659897458442,1.8181265268641955,1.8182446017830047,1.5880423201259357,1.6763264,1.6859045
156,test,24,defender,1.5653814872999925,1.5426717623568376,1.5438343912835164,2.065881488929819,2.1897473,2.1885977
157,test,24,forward,1.921646863286708,1.955558192821546,1.9435396903357232,1.6965086707520853,1.7851647,1.7862736
158,test,24,goalkeeper,2.2060266403516664,2.260630776830079,2.334264030230243,2.1265493621426033,2.2710164,2.278304
159,test,24,midfielder,1.7800433087088454,1.8098427944896849,1.8027407060027267,1.551854473210595,1.6427877,1.6491343
160,test,25,defender,1.5703375422292665,1.56029900276577,1.5581753653567914,2.0710054035990106,2.1837852,2.0913277
161,test,25,forward,1.9224617805170026,1.9572458530052868,1.9472200973998297,1.7000706942097987,1.781421,1.6705581
162,test,25,goalkeeper,2.200520197757108,2.253368845116427,2.372809082701831,2.153304722813015,2.2558894,2.1818151
163,test,25,midfielder,1.7972029946897294,1.809933795988679,1.8023991450118302,1.535337849636155,1.6262686,1.5480893
164,test,26,defender,1.5773229013559829,1.563296173283371,1.5540979991107349,2.0463733499995325,2.1723957,2.1838899
165,test,26,forward,1.874502682047739,1.9110431056529313,1.8953773130329874,1.809279992413368,1.9078395,1.9130572
166,test,26,goalkeeper,2.294515488359057,2.281718976589683,2.36857277481027,2.090749659440144,2.1878867,2.1932216
167,test,26,midfielder,1.7899080687897728,1.8032085929559611,1.7962574062723138,1.5840088366509053,1.675755,1.6813387
168,test,27,defender,1.624380813632315,1.6136402710413247,1.613307020687254,1.9540623451048647,2.1056828,2.1063387
169,test,27,forward,1.8790862398527395,1.8973769713635207,1.8771989215314997,1.9975732329935698,2.0770478,2.0780294
170,test,27,goalkeeper,2.29659571389197,2.33324326972148,2.3904515303071747,2.1152261448494447,2.2133605,2.1981173
171,test,27,midfielder,1.7892406364619131,1.7909210946595269,1.7800528525785904,1.6320066291631272,1.7417464,1.7584044
172,test,28,defender,1.6546057524956534,1.6366610003333708,1.6419593676386843,1.832422267745378,1.9970945,1.8564116
173,test,28,forward,1.8544101599750054,1.9101774446419957,1.8650599419583553,2.0657365329454143,2.1452937,2.0375185
174,test,28,goalkeeper,2.293724893846014,2.3750501245114526,2.448864615359566,2.023839238751042,2.0845623,2.0266914
175,test,28,midfielder,1.824553271863101,1.8113102917668342,1.7967133964418502,1.6352033219093007,1.7378305,1.6664683
176,test,29,defender,1.6706273078713376,1.6535754768275064,1.6610371072114412,1.8496177162397776,1.988032,1.8557357
177,test,29,forward,1.8714436602755105,1.9373123419382368,1.9012647253592363,2.032193331282856,2.1126754,2.0132308
178,test,29,goalkeeper,2.2924081139062134,2.3626045861919756,2.4461196589010736,1.994638953645136,2.0969307,2.0540645
179,test,29,midfielder,1.8137841099525087,1.8060801804434758,1.7914084192586939,1.5920318173268186,1.6996751,1.6143963
180,test,30,defender,1.681092054080052,1.6536706395095464,1.6638522055047715,1.8640830525366636,2.005489,1.8721877
181,test,30,forward,1.9058784351936124,1.9528575085998416,1.915898555891675,1.9899760023163084,2.0578146,1.9245248
