Dataset,Gameweek,Position,LASSO Regression MAE,Linear Regression MAE,Random Forest MAE,Ridge Regression MAE,XGBoost MAE,XGBoost V2 MAE
test,3,overall,2.590823926,2.86081057,2.202397721,2.765668423,2.3252254,1.9725455
test,4,overall,2.13519921,2.198158406,2.032455161,2.161334689,2.0631816,2.000645
test,5,overall,2.03288036,1.987692874,1.86445955,2.038638261,1.8602655,1.778185
test,6,overall,1.967020093,1.922248268,1.826912559,1.994142074,1.831799,1.8379879
test,7,overall,1.895659161,1.916587582,1.831690317,1.9708314,1.8546247,1.7550952
test,8,overall,1.872729982,1.895258332,1.840070766,1.925211297,1.8551457,1.7421447
test,9,overall,1.859395454,1.867743991,1.838869636,1.897764223,1.8268915,1.7092732
test,10,overall,1.87969563,1.903357165,1.86375572,1.913785811,1.8381828,1.7207575
test,11,overall,1.842695785,1.876885871,1.857966108,1.872972543,1.8381954,1.8281567
test,12,overall,1.837672665,1.87396007,1.830528108,1.858781263,1.8317279,1.7094419
test,13,overall,1.855137802,1.879061247,1.837782133,1.864959478,1.8311852,1.7105819
test,14,overall,1.841619075,1.853882354,1.818457379,1.846202401,1.8105484,1.7004281
test,15,overall,1.83530487,1.846896022,1.81863774,1.834715953,1.8065958,1.8028
test,16,overall,1.828267869,1.83537296,1.814528734,1.820607771,1.8120555,1.7116838
test,17,overall,1.807978149,1.826586998,1.813162941,1.815627763,1.800223,1.6921786
test,18,overall,1.809210568,1.811804427,1.797260321,1.80276369,1.7886664,1.7003437
test,19,overall,1.806666808,1.817550077,1.793904317,1.806012149,1.7928501,1.795554
test,20,overall,1.79990116,1.807876768,1.787190939,1.799892944,1.7769285,1.7749919
test,21,overall,1.766935832,1.781048852,1.762998484,1.779305203,1.7485567,1.6626711
test,22,overall,1.788493368,1.79802791,1.769242403,1.789833025,1.7614119,1.6730261
test,23,overall,1.802062176,1.813341252,1.791554785,1.80505639,1.7738802,1.681201
test,24,overall,1.802948258,1.815242599,1.795373026,1.804734253,1.7877997,1.6841351
test,25,overall,1.800983008,1.809350122,1.793364738,1.798442314,1.780493,1.6731944
test,26,overall,1.824922722,1.837427753,1.81811061,1.82648819,1.8077797,1.8314966
test,27,overall,1.850263387,1.855564756,1.836551451,1.848629972,1.8291799,1.8468739
test,28,overall,1.810052966,1.810514565,1.794508453,1.80489385,1.7878412,1.660539
test,29,overall,1.798322709,1.800822628,1.774134429,1.798433416,1.7642835,1.7619132
test,30,overall,1.798246046,1.799499995,1.775260394,1.796610304,1.7643546,1.6595097
test,31,overall,1.826540068,1.819816199,1.79353354,1.812743789,1.7724999,1.6689162
test,32,overall,1.8085007,1.802156683,1.779415224,1.795752005,1.7676965,1.6678151
test,33,overall,1.810409173,1.801802427,1.773843618,1.797149671,1.7578872,1.6489571
test,34,overall,1.83355577,1.830585868,1.805820045,1.821729228,1.7869551,1.6894943
test,35,overall,1.836339324,1.835659602,1.811043454,1.827231723,1.789664,1.6847528
test,36,overall,1.816783001,1.817503966,1.798980346,1.812166175,1.7699081,1.6661671
test,37,overall,1.811371827,1.819447942,1.776037228,1.806289094,1.7533472,1.6671838
test,38,overall,1.889440028,1.904820168,1.856119201,1.882017649,1.8342054,1.8764701
training,3,overall,2.403599806,3.159028734,2.624642264,2.814853907,2.5998151,2.4158876
training,4,overall,2.342172065,2.487335003,2.401110734,2.326197,2.4378908,2.4059105
training,5,overall,2.321177175,2.465560155,2.393328967,2.32766282,2.3490386,2.1333137
training,6,overall,2.167564633,2.253947096,2.219138498,2.168136532,2.1536667,2.1608112
training,7,overall,2.057486714,2.114703396,2.099783974,2.054774462,2.0430942,1.8909942
training,8,overall,2.030260985,2.067024928,2.048368122,2.031408863,2.0058095,1.8704162
training,9,overall,2.001714584,2.029601628,2.023543667,2.015920927,1.973775,1.8356067
training,10,overall,1.9567816,1.984339567,1.98744512,1.976277258,1.9455047,1.8209513
training,11,overall,1.967129521,1.982386468,1.991409345,1.966271441,1.9516947,1.9433154
training,12,overall,1.945728049,1.962987411,1.98051386,1.947340441,1.935259,1.7992994
training,13,overall,1.932408568,1.944409786,1.95226142,1.932772681,1.910059,1.786873
training,14,overall,1.920250035,1.933154057,1.941938521,1.920811466,1.9129846,1.774867
training,15,overall,1.915807615,1.930884935,1.940675447,1.917915339,1.906958,1.9016328
training,16,overall,1.90127192,1.92107579,1.927798379,1.903330849,1.8983651,1.7683371
training,17,overall,1.893656393,1.916297196,1.920748158,1.897851542,1.8932652,1.7630638
training,18,overall,1.891662298,1.914057935,1.919966294,1.895234075,1.8894134,1.759416
training,19,overall,1.883484401,1.900827558,1.908555001,1.883409794,1.8699436,1.8646004
training,20,overall,1.882720193,1.902359199,1.898760858,1.883530087,1.863789,1.8782641
training,21,overall,1.873800162,1.891138067,1.892786747,1.872989506,1.8606772,1.7474424
training,22,overall,1.866046274,1.883808507,1.882091923,1.86479254,1.8493593,1.7401347
training,23,overall,1.86111445,1.878013709,1.880034276,1.85839259,1.8493674,1.7344404
training,24,overall,1.852365095,1.869608987,1.870741249,1.852659563,1.839326,1.7288048
training,25,overall,1.851960061,1.868403016,1.871794262,1.853641379,1.8380797,1.7230392
training,26,overall,1.84040167,1.855893316,1.861191473,1.842446109,1.8268223,1.8715274
training,27,overall,1.840130382,1.855118643,1.858034987,1.841383473,1.8261294,1.8475997
training,28,overall,1.846282108,1.861427087,1.865019706,1.847546423,1.8312595,1.7202086
training,29,overall,1.842998542,1.857797485,1.862095507,1.844291536,1.8324841,1.8329743
training,30,overall,1.841852613,1.857202409,1.860306043,1.842718924,1.829189,1.7235839
training,31,overall,1.840603806,1.852702494,1.855656919,1.839505636,1.829511,1.7139882
training,32,overall,1.842981346,1.855050943,1.860856451,1.842793914,1.8329257,1.7202064
training,33,overall,1.837482667,1.849300563,1.854717524,1.8366357,1.8262513,1.7107503
training,34,overall,1.836083013,1.846203857,1.851148946,1.834150866,1.8242168,1.715088
training,35,overall,1.832854418,1.845536234,1.851299981,1.831793964,1.8218331,1.7088102
training,36,overall,1.834516314,1.847964755,1.851330784,1.836102,1.8237416,1.7075022
training,37,overall,1.834239877,1.846573383,1.849808039,1.834290299,1.8187566,1.7121007
training,38,overall,1.828688622,1.84062746,1.846153431,1.827984339,1.8132726,1.8405958
test,3,defender,1.953798554,2.005862928,2.12278392,1.951255888,2.0241008,1.9301523
test,3,forward,6.630284995,8.12415227,3.377797571,6.276090074,4.35886,3.0734262
test,3,goalkeeper,3.043114575,2.337324475,2.239654679,6.540593648,2.2811823,2.3844283
test,3,midfielder,1.882177314,2.117449234,1.926780464,1.8670318,1.9922678,1.634795
test,4,defender,2.121077889,2.35096325,2.129314361,2.102986286,2.124043,2.0704198
test,4,forward,3.367118991,3.206219753,2.601222187,3.620287879,2.8156917,2.7833858
test,4,goalkeeper,2.252734923,2.169399561,2.200833693,2.252968661,2.2141473,2.179894
test,4,midfielder,1.776799632,1.789754078,1.766730794,1.777484797,1.7765124,1.6940075
test,5,defender,2.097818287,2.11577805,2.003019344,2.022795596,2.0005968,1.9669081
test,5,forward,2.859657711,2.580904007,2.203373667,3.021873154,2.1737788,2.032116
test,5,goalkeeper,2.440026076,2.451827213,2.434143754,2.439995687,2.4341207,2.63896
test,5,midfielder,1.681752786,1.643361632,1.569495852,1.710139393,1.570555,1.4240338
test,6,defender,2.06321985,2.099007425,1.97215275,2.030000937,1.9863147,1.9976846
test,6,forward,2.492650099,2.34825462,2.062983413,2.744069248,2.048684,2.069178
test,6,goalkeeper,2.518079096,2.206082747,2.348283118,2.517733522,2.3689637,2.381774
test,6,midfielder,1.654921552,1.610366261,1.562575784,1.67088298,1.5630667,1.5598273
test,7,defender,1.938549823,2.067284349,1.932167837,1.978918072,1.9411793,1.8202916
test,7,forward,2.339419649,2.274114248,2.033510826,2.542373768,2.087249,1.9184139
test,7,goalkeeper,2.033632227,2.143998916,2.167825101,2.44020358,2.2169116,2.2438157
test,7,midfielder,1.708596533,1.651872594,1.639079921,1.726763249,1.6607337,1.5810841
test,8,defender,1.960809092,2.039297157,1.918844182,1.942390244,1.9401586,1.815428
test,8,forward,2.178807774,2.158080352,2.021237555,2.316964172,2.026587,1.8380342
test,8,goalkeeper,2.010385029,2.216093614,2.226527451,2.501238639,2.27704,2.3168209
test,8,midfielder,1.688077723,1.64942554,1.663017254,1.708772053,1.6704805,1.5668169
test,9,defender,1.928551108,1.993758378,1.923589603,1.894778362,1.9312544,1.7747923
test,9,forward,2.200815319,2.127648198,2.035822441,2.343821611,1.9569175,1.7591166
test,9,goalkeeper,2.159577094,2.285273649,2.197409593,2.477579996,2.2190423,2.2547445
test,9,midfielder,1.656144714,1.624029967,1.656776223,1.681268069,1.6433352,1.5585924
test,10,defender,1.918108106,1.987853769,1.933302382,1.904452851,1.9255726,1.7751902
test,10,forward,2.231588482,2.187925899,2.093309154,2.328893757,2.0126543,1.8381835
test,10,goalkeeper,2.091403122,2.325370984,2.026543249,2.345122935,2.046118,1.982728
test,10,midfielder,1.711570785,1.685830079,1.713698776,1.733377382,1.6830626,1.601728
test,11,defender,1.878284975,1.994287122,1.938588297,1.918815078,1.9299513,1.9101384
test,11,forward,2.144291333,2.080074513,2.028080845,2.204196134,1.994762,1.9660857
test,11,goalkeeper,2.091150261,2.159067851,1.929098702,1.995470673,1.9443134,1.9765724
test,11,midfielder,1.685538277,1.676771485,1.729706385,1.717302547,1.6995884,1.6968827
test,12,defender,2.005454973,2.096945629,2.025230612,2.012208534,2.0454078,1.9235964
test,12,forward,2.076278557,2.025639346,1.924863094,2.111396726,1.8918947,1.6780964
test,12,goalkeeper,2.095535455,2.208891026,2.128682417,2.125996593,2.1581273,2.2578883
test,12,midfielder,1.588840913,1.594453101,1.597168263,1.616224581,1.5888629,1.461373
test,13,defender,2.02303022,2.111717357,2.050343519,2.041476805,2.0340848,1.8988607
test,13,forward,2.101804495,2.043925312,1.965262851,2.111701316,1.9411166,1.7496614
test,13,goalkeeper,2.242779176,2.231328008,2.065149586,2.096851839,2.1160805,2.0776052
test,13,midfielder,1.586606491,1.586283214,1.590647707,1.61135201,1.5891757,1.4903157
test,14,defender,2.029027557,2.105456011,2.0471602,2.049183545,2.04974,1.9207156
test,14,forward,1.978022164,1.930000718,1.849081558,1.996677874,1.807279,1.5827937
test,14,goalkeeper,2.184255873,2.16011798,2.069451767,2.077166092,2.090696,2.1005468
test,14,midfielder,1.594200161,1.57630481,1.581824025,1.597189146,1.5714012,1.495272
test,15,defender,2.055299752,2.131451542,2.061410945,2.063550369,2.054397,2.0458553
test,15,forward,1.862707496,1.814829968,1.782696148,1.869477173,1.6913358,1.6664562
test,15,goalkeeper,2.274495859,2.22936939,2.158845522,2.187647458,2.209306,2.2303913
test,15,midfielder,1.577819327,1.56124231,1.575514737,1.580060358,1.5742172,1.577206
test,16,defender,2.052582808,2.122686746,2.056882027,2.050567641,2.0532014,1.9297125
test,16,forward,1.810835578,1.753470612,1.740716239,1.806216586,1.687208,1.4636623
test,16,goalkeeper,2.164557324,2.200464064,2.108066481,2.085909658,2.1525652,2.1384912
test,16,midfielder,1.594646929,1.563964803,1.589173122,1.591896926,1.5961684,1.5396867
test,17,defender,2.036108383,2.102721542,2.033946657,2.04345607,2.0314505,1.8807205
test,17,forward,1.810258752,1.766646603,1.783011974,1.815038461,1.7029942,1.4988855
test,17,goalkeeper,1.88714909,2.093826663,2.040421315,1.975478559,2.056326,1.974288
test,17,midfielder,1.60508559,1.573737585,1.60361817,1.60159928,1.5976565,1.5499855
test,18,defender,2.016092375,2.07726737,2.000187464,2.018326848,2.0080173,1.8913872
test,18,forward,1.800620643,1.755567561,1.740217664,1.795423324,1.6676465,1.4986844
test,18,goalkeeper,1.970909578,2.019754524,2.014806498,1.92239041,2.0376854,1.9970999
test,18,midfielder,1.614884368,1.576057702,1.612184528,1.607398413,1.6044105,1.5565557
test,19,defender,1.997935097,2.06248092,1.98228924,2.007394342,1.9942396,1.9924309
test,19,forward,1.773343048,1.734517023,1.701680819,1.762245994,1.6677673,1.6693105
test,19,goalkeeper,1.992554531,2.037649343,2.01488813,1.93572549,2.0355222,2.0453827
test,19,midfielder,1.629916956,1.606173149,1.631798832,1.63283838,1.6265321,1.6321901
test,20,defender,1.992976229,2.043001287,1.970240166,1.99373247,1.9751308,1.9708718
test,20,forward,1.80846269,1.765489909,1.750385331,1.808802672,1.7031542,1.6945351
test,20,goalkeeper,1.964054711,1.984733449,1.943577298,1.917842413,1.9740307,1.9941003
test,20,midfielder,1.613618903,1.601084481,1.624426502,1.620181224,1.6068457,1.6054045
test,21,defender,1.964084624,2.007411047,1.938289285,1.967836142,1.9340839,1.826866
test,21,forward,1.775060935,1.740904386,1.712955266,1.772615421,1.6712615,1.566811
test,21,goalkeeper,1.858417546,1.95948361,1.959966595,1.928272601,1.9840941,1.9068614
test,21,midfielder,1.588587583,1.58025201,1.60413021,1.603520673,1.5838099,1.5198725
test,22,defender,2.015670161,2.062924079,1.998548043,2.011522172,1.995963,1.8937389
test,22,forward,1.682456417,1.653040695,1.604696737,1.670404278,1.5621315,1.4817913
test,22,goalkeeper,2.037112677,2.054280434,2.011404755,2.040192121,2.0554953,1.9881011
test,22,midfielder,1.596146768,1.586204835,1.595452102,1.606136141,1.5863589,1.5033345
test,23,defender,2.066525375,2.126589119,2.053049656,2.067925127,2.0431545,1.949789
test,23,forward,1.643488601,1.611500524,1.596789983,1.646633341,1.5468327,1.4091929
test,23,goalkeeper,2.148357546,2.137348984,2.124709527,2.147494232,2.1405158,2.083853
test,23,midfielder,1.581660689,1.571032256,1.587740357,1.586540553,1.5689353,1.4858427
test,24,defender,2.076500108,2.127575248,2.079740034,2.078577921,2.079113,1.9768801
test,24,forward,1.731851514,1.707601394,1.674817208,1.731043352,1.6439685,1.4999243
test,24,goalkeeper,2.174310984,2.165126994,2.127795441,2.165141697,2.158557,2.1165314
test,24,midfielder,1.541446249,1.537781096,1.547989961,1.545674044,1.5361596,1.434601
test,25,defender,2.07656956,2.123168708,2.079211433,2.07469517,2.071742,1.9610248
test,25,forward,1.741189985,1.71145852,1.695389575,1.734402917,1.6486115,1.5006659
test,25,goalkeeper,2.194856435,2.177735829,2.135853292,2.175142958,2.1541243,2.107102
test,25,midfielder,1.531191934,1.525280083,1.536391058,1.532359016,1.5252211,1.4242272
test,26,defender,2.046333394,2.094085232,2.044480063,2.052107754,2.0430148,2.0638158
test,26,forward,1.850653312,1.835708569,1.816344718,1.850725278,1.787077,1.8052665
test,26,goalkeeper,2.14495939,2.115603578,2.092132621,2.118207095,2.0797443,2.1296303
test,26,midfielder,1.58338316,1.583302219,1.589293501,1.58672872,1.5783741,1.6019429
test,27,defender,1.972418456,1.989453724,1.963220291,1.969038664,1.9500564,1.963866
test,27,forward,2.019359654,1.999302204,1.996619904,2.022330768,1.9668102,1.9786632
test,27,goalkeeper,2.187538476,2.187227273,2.11760362,2.167329585,2.1111054,2.1274734
test,27,midfielder,1.640892583,1.64596972,1.635936226,1.64228227,1.6403416,1.6632657
test,28,defender,1.861258224,1.857950453,1.833773046,1.84930585,1.8318396,1.6571425
test,28,forward,2.071539607,2.069278984,2.06344052,2.079826095,2.0354295,1.9080025
test,28,goalkeeper,2.051126425,2.0544131,2.023792437,2.005160395,1.9852264,1.8040217
test,28,midfielder,1.644175679,1.648070169,1.637752543,1.646898434,1.6395149,1.5592141
test,29,defender,1.883999585,1.883571373,1.849392089,1.877005697,1.8382678,1.8302236
test,29,forward,2.042824997,2.031148439,2.033282119,2.059429619,1.9948611,1.9886227
test,29,goalkeeper,2.052946387,2.041920447,1.994188916,2.026667317,1.9825048,1.9913574
test,29,midfielder,1.609956206,1.621571144,1.594982473,1.614723281,1.5956373,1.597098
test,30,defender,1.90019437,1.895102144,1.870467853,1.889151259,1.8578719,1.7335033
test,30,forward,1.977117403,1.964829185,1.986888042,1.990471624,1.9300382,1.8190362
